symbol,data_days,start_date,end_date,avg_volume_usd,dev_mean_pct,dev_std_pct,corr_raw_next,corr_diff_next,corr_zscore_next,total_return,sharpe,win_rate,max_drawdown,extreme_down_count,extreme_down_reversal_pct,extreme_up_count,extreme_up_reversal_pct,return_2025,return_2026,return_2024,return_2023,return_2021,return_2022
NTRN,844,2023-11-14,2026-03-06,5098309.35006993,-0.012541059271427749,0.14386908197066348,0.0074750467521060475,0.005175735704464496,0.001531142278249308,0.673205394932171,0.2581735530038647,50.0,-1.2076760874563655,19,42.10526315789473,22,54.54545454545454,-0.3980384392971229,0.054965692311898295,1.3040887068446652,-0.2878105649272691,,
EGLD,1892,2020-12-31,2026-03-06,20414553.771010827,-0.024829668238374916,0.11657079256490227,0.071713975373493,-0.01548142614916263,-0.008173254869655292,1.3362399429906142,0.2562886763864125,51.17145899893504,-2.0672941122875668,49,53.06122448979592,36,52.77777777777778,0.23923978287132974,0.49019755343667715,-0.24441175167029994,0.7983186768835215,1.1124847060542722,-1.0595890245848862
XTZ,1892,2020-12-31,2026-03-06,15472707.545195114,-0.05196045676688439,0.13555245582753453,0.04226086361803054,-0.0021068757052095273,0.012255976789902978,1.2910119023994684,0.2459952205633769,49.201277955271564,-2.490503793346952,38,50.0,29,37.93103448275862,-0.4270731736775094,0.7041495531769701,-0.8471111271080699,-0.177213449436726,2.023952607847825,0.01430749159698097
SANTOS,495,2024-10-28,2026-03-06,3875351.861366707,-0.07426559708085784,0.10432406400735707,-0.04377149613907112,-0.017434203747794006,-0.014497077841346481,0.2633706383690484,0.23453053842631236,49.68814968814969,-0.6621483556264124,10,50.0,9,66.66666666666666,-0.03418417487564296,-0.14917634864603946,0.4467311618907308,,,
SOL,1892,2020-12-31,2026-03-06,426498788.0900997,-0.03178709059342106,0.4082415031046932,-0.06917676367593979,-0.05300682184910191,0.016598324469044384,1.3501273470531565,0.23111854349945132,49.57401490947817,-1.4029044765791316,45,48.888888888888886,49,42.857142857142854,0.08939323649433717,0.1844577405086536,0.811206988581614,0.004601096719772824,0.301289949106781,-0.04082166435800416
ATOM,1892,2020-12-31,2026-03-06,44056725.205325425,-0.03234082465268224,0.08997271452995705,0.025694402679226496,-0.0014567237369108403,0.005386264840221751,1.1976926141846054,0.22139195773109907,49.78700745473908,-2.2821400741227675,43,41.86046511627907,38,50.0,-0.07044462889276104,-0.22901088258785962,-1.0722787109063283,1.5550611511205044,1.83197459549742,-0.817608910046372
LQTY,1093,2023-03-10,2026-03-06,6143239.761848857,-0.03406946224549261,0.11625818786472931,-0.012336913145751504,-0.011615812371281302,0.0033525559905973413,0.7400744428156011,0.21996118466028255,52.36329935125116,-3.1425431592551103,27,51.85185185185185,17,47.05882352941176,1.487767579832076,0.06953652113196351,-1.6776437865653628,0.860414128416924,,
ALICE,1817,2021-03-16,2026-03-06,20675948.809012882,-0.03116381443694658,0.1701206143914197,-0.0136241925459176,-0.02793641045415569,-0.023604594213188928,1.4101175269795776,0.21854371099446415,50.249584026622294,-3.776486487456399,34,55.88235294117647,34,50.0,-0.8150555546993268,1.0575706815875723,-0.17500491616868696,0.0648991414691531,2.4360665297779978,-1.1583583549871261
LTC,1892,2020-12-31,2026-03-06,94354461.79179332,-0.018960663644225176,0.07054266978470831,0.024026966489150866,-0.01963460109349566,0.00450106375192028,0.9154373771606187,0.20721343222502783,50.905218317358894,-1.3990918797019436,44,61.36363636363637,52,46.15384615384615,-0.08002796029243886,-0.07006658288721901,0.6634336534843023,0.8524797405650351,-1.0765644413097872,0.6261829676007252
DUSK,1520,2022-01-07,2026-03-06,4813959.07575408,-0.048446008147798446,0.1465703099262516,0.03548491539741325,0.06546582493595027,-0.0008556373592130374,1.0413229180297174,0.20098972396057407,50.199203187250994,-2.577924587937489,35,37.142857142857146,27,62.96296296296296,2.658980619512345,-1.7508509016410472,0.10819091742938802,-0.36194344699257286,,0.3869457297216068
SUSHI,1892,2020-12-31,2026-03-06,23620358.025021844,-0.028596644632509063,0.10736543849173887,0.039055535679191095,0.04532435921553337,0.01799530178759154,1.2446651694356705,0.19217099906980745,49.94675186368477,-3.6115887005760148,33,48.484848484848484,42,47.61904761904761,0.4039131345516881,0.6511300817173479,-2.6789838247467586,1.6617917816403247,2.3416967351868743,-1.134882738913816
RUNE,1892,2020-12-31,2026-03-06,41481639.25182249,-0.032738291395522305,0.13400202989236096,0.020849843822423435,0.03188223886884607,0.012708022753570683,1.2893954369936718,0.19210114007466553,50.47923322683706,-2.4386523635101387,37,37.83783783783784,42,40.476190476190474,1.7669331181814025,-0.3480857455905575,-0.18618165878031556,0.1412822632470344,-0.6622371420176779,0.5776846019537867
JTO,820,2023-12-08,2026-03-06,20081483.018569626,-0.03660346445896389,0.12072208941809338,0.024283237661125976,0.03712521154331961,-0.04584041286363269,0.49740363627688855,0.19025248348487858,51.1166253101737,-1.8660024012410756,15,33.33333333333333,20,80.0,1.0147417691545866,0.20835548800010728,-0.7353314190293653,0.009637798151561072,,
BOME,721,2024-03-16,2026-03-06,53660265.904704146,-0.04245229241824353,0.06842248807367582,-0.02147282150920307,0.0704149430627104,0.002416070922515354,0.4751813010924121,0.1870856581248736,50.777934936350775,-1.4673574210171823,13,46.15384615384615,14,57.14285714285714,1.5454593304165198,-0.12378415658871855,-0.9464938727353895,,,
HIGH,1124,2023-02-07,2026-03-06,6885064.293973142,-0.030611550680585072,0.15060852029144603,-0.006010643711883145,-0.02666678066531331,-0.013102554907845499,0.6026238286274048,0.17389441942784148,49.009009009009006,-1.8134776672255262,24,33.33333333333333,16,81.25,1.3838641211818896,-0.02975862000692997,-0.532812664858992,-0.21866900768856268,,
DOGE,1892,2020-12-31,2026-03-06,367482612.2378476,-0.01713348840679369,0.07781656273211718,0.005635100770287719,-0.041060002775954306,-0.00934017942280433,1.8753739751065301,0.17175658620672113,51.54419595314164,-3.767684148355376,44,52.27272727272727,50,52.0,-0.9967546651545716,-0.07145398000792147,-1.1293429086988163,1.0153236737687652,2.805300735441752,0.25230111975731484
RSR,1892,2020-12-31,2026-03-06,11816203.202869186,-0.024132340028549013,0.12713766445190572,0.002212541715835476,-0.04382058873780867,-0.004168620811018734,1.295452878962147,0.16777603943416405,50.95846645367412,-2.3429116404437864,52,44.230769230769226,34,58.82352941176471,-0.6608276714117534,0.5004826329393073,-0.3091438273802538,0.5209380700337961,1.501116920959206,-0.257113246178159
APT,1235,2022-10-19,2026-03-06,43584507.54079403,-0.03904319975300573,0.07629901099709498,-0.04407636609596889,-0.046759900934336476,-0.033680158542256707,0.5736873240986636,0.16516593690227763,48.075348075348074,-1.797181602437293,26,50.0,28,57.14285714285714,1.402551486760034,0.02984068876351398,-0.8255305882650249,-0.29325691774952944,,0.26008265458967006
PORTAL,737,2024-02-29,2026-03-06,7803751.240998335,-0.03365565531582123,0.1364942363653122,0.0020835139081582703,0.04428784271111174,0.0024178544876821487,0.4062596162365524,0.16188977068530505,49.23928077455049,-1.4101272402329308,18,38.88888888888889,9,66.66666666666666,1.1936926481678733,0.02412445437178301,-0.811557486303104,,,
BCH,1892,2020-12-31,2026-03-06,50721062.14145972,-0.03940602580376952,0.07336866090574753,0.010920717550557816,-0.043974205531805415,-0.01556100239978374,0.7733011864450673,0.1569949608962347,50.3727369542066,-2.039809107361506,43,55.81395348837209,33,60.60606060606061,-0.7661701432411175,0.20126682676335517,-0.8120587063956101,1.310922326987873,0.15908383763593115,0.6802570446946343
