symbol,data_days,avg_volume_usd,sharpe_gross,sharpe_net,return_gross,return_net,win_gross,win_net,dd_gross,dd_net,n_trades,turnover_pct,total_cost
MTL,1788,5557967.986974606,0.6795212729580914,0.5629335869143263,3.719846368884382,3.08184636888438,50.44742729306487,50.223713646532445,-1.7964213874126016,-1.816421387412602,798,44.63087248322148,0.6380000000000001
AVA,435,3623237.0307918265,0.695822188322371,0.5589876845844116,0.8150190527387617,0.6546190527387585,51.724137931034484,51.724137931034484,-0.8482124518585032,-0.881812451858504,201,46.206896551724135,0.16040000000000001
JOE,1060,3704453.21916981,0.6751363890382047,0.5551756827621216,2.061268524872159,1.695268524872167,51.509433962264154,50.943396226415096,-1.788037950757598,-1.8392379507575969,458,43.20754716981132,0.366
TURTLE,122,5292419.679724338,0.6930710053824207,0.5532171084098365,0.24461729252406794,0.195417292524067,52.459016393442624,52.459016393442624,-0.8639040542520411,-0.8855040542520416,62,50.81967213114754,0.04920000000000001
PARTI,333,6128496.96521023,0.622761781607693,0.5425059830185331,0.9717979402921494,0.8465979402921477,48.94894894894895,48.64864864864865,-1.3119596344798221,-1.316759634479822,157,47.147147147147145,0.1252
ALPINE,291,6216046.383699672,0.609247886610789,0.5398583332666349,1.0086818375863458,0.8938818375863437,48.797250859106526,48.10996563573883,-1.0786175888070046,-1.1002175888070052,144,49.48453608247423,0.11480000000000001
MAV,968,5960980.128751009,0.6475656064001742,0.5396182554467143,2.0640469915736293,1.7204469915736422,49.89669421487603,49.79338842975206,-1.4389192112737277,-1.5197192112737241,430,44.421487603305785,0.3436
XVS,1045,3355558.8029926345,0.676627358222769,0.5376612775633152,1.9131225251545663,1.5199225251545803,51.578947368421055,51.196172248803826,-0.9015632819183493,-0.9471632819183492,492,47.08133971291866,0.39320000000000005
SAND,1853,56294890.13426004,0.6154191193972769,0.5199020704186476,4.074014594300366,3.441614594300381,52.23961144090664,52.02374527792768,-2.002692367078792,-2.0818923670787917,791,42.68753372908797,0.6324000000000001
XPL,149,139076537.394964,0.5972983096257433,0.5117316128905154,0.37675888846136807,0.32275888846136713,50.33557046979866,50.33557046979866,-1.0188465462424712,-1.0332465462424716,68,45.63758389261745,0.054000000000000006
ZRO,611,18614082.17661355,0.60765448884036,0.4994629040726643,1.162192454897942,0.9553924548979409,49.91816693944354,49.42716857610475,-1.4158505791188114,-1.444650579118812,259,42.38952536824877,0.2068
IOST,1878,12436941.214951763,0.6167571551155202,0.49629977859811764,3.4314720110725454,2.7606720110725513,50.69222577209798,50.319488817891376,-1.7294815841902476,-1.8774815841902472,839,44.67518636847711,0.6708000000000002
EIGEN,508,22994896.053125095,0.5878256701258983,0.4898877493541394,1.1263370228845502,0.9387370228845515,51.96850393700787,51.96850393700787,-1.556430246952843,-1.5812302469528428,235,46.25984251968504,0.18760000000000004
MASK,1639,14274165.413452227,0.5807230974412615,0.4833134210861123,3.2984520845794045,2.744452084579402,52.47101891397193,52.16595485051862,-2.4150817721823055,-2.6206817721823077,693,42.281879194630875,0.554
GIGGLE,119,41792868.673533686,0.5566048393084899,0.47713537150739566,0.26586956334681267,0.22786956334681166,52.10084033613446,50.42016806722689,-0.4793139138028292,-0.4977139138028297,48,40.33613445378151,0.03800000000000001
APE,1437,38968535.1720274,0.5821854430778092,0.46650373413591095,2.558825864465393,2.0504258644654074,51.496172581767574,51.496172581767574,-2.3600051259577706,-2.43360512595777,636,44.258872651356995,0.5084000000000001
LDO,1248,21615173.522973545,0.5736906583742063,0.46483839506344043,2.2367381718941983,1.8123381718941995,50.80128205128205,50.641025641025635,-2.440843851382085,-2.543243851382087,531,42.54807692307692,0.42440000000000005
AXL,722,5455446.838313842,0.5598102116748659,0.45559048840453426,1.3065847285528664,1.0637847285528799,50.83102493074792,50.41551246537396,-1.7103694506608522,-1.8026774491328474,304,42.10526315789473,0.24280000000000002
SOLV,400,7167836.475787536,0.5558954965849502,0.45431545824760544,0.7327322762135079,0.5987322762135103,51.0,51.0,-1.2579960639589631,-1.340981456496054,168,42.0,0.134
CELO,1608,8246330.113887115,0.5779352368446622,0.4528222903910546,2.587907778130118,2.0275077781301403,50.49751243781094,50.373134328358205,-1.1014295384295514,-1.1854295384295526,701,43.59452736318408,0.5604
